City;AffordableHousing;ForeignersIntegration;GoodJobs;CulturalFacilities;GreenSpace;PublicTransport;SportFacilities
Aalborg;76.1;60.8;43.3;95.8;82.6;86.9;89.2
Amsterdam;8.4;55.5;64.8;98.3;83.5;87.6;89.2
Ankara;41.9;60.1;14.1;75;78.5;67.2;63.8
Antalya;48.9;74.8;35.6;75.5;84.3;69.6;68.1
Antwerpen;29.7;40.2;63.4;96.3;80;88.2;89.2
Athina;32.3;20.3;27.3;73.5;23;68.8;52.1
Barcelona;28.3;38.5;17.4;87.5;58;77.2;73.9
Belfast;51.8;52.8;31.8;93.5;87.5;84.2;77.6
Berlin;55.7;31;20;96.9;83.4;73.1;77.1
Bialystok;57;59.6;18.6;83.3;91.1;88.8;59.7
Bologna;10.6;54;32.3;87.9;79.3;77.1;85
Bordeaux;28.6;76.8;30.4;84.9;91.1;91.2;89.3
Braga;73.7;76.5;14.2;72.7;55.3;79.7;79.4
Bratislava;18.6;83.2;47.5;90;60.7;67.5;62
Bruxelles / Brussel;19.5;42.7;31.7;91.3;77.3;71.4;77.5
Bucuresti;18.9;74.6;33.9;78.4;68.1;52.1;40.6
Budapest;31.5;78.6;18.5;94.9;56;52.3;59.9
Burgas;40.7;81.7;34.9;67.3;83;78.5;54.5
Cardiff;51.1;71.4;38.4;97.9;93;83.9;91.6
Cluj-Napoca;36.4;87.6;26.3;87.5;68.9;84.2;68.5
Diyarbakir;53.7;67;8;61.9;73.1;76.3;51
Dortmund;69.9;36.5;20.5;92.7;87.1;3.2;78.5
Dublin;29.7;63.8;17;94.8;86.2;72.3;77.9
Essen;56.9;40.3;31.7;94.5;81.1;2.3;60.6
Gdansk;34.7;78.1;44.4;87.9;80.3;79.8;58.3
Glasgow;44.2;65.3;31.6;97.2;90.6;84.8;81.9
Graz;27;32.5;44.6;94;79.7;78.7;75.1
Groningen;58.1;78.9;46.4;97.3;93.1;92.5;95.6
Hamburg;17.4;44.8;57.3;95.3;92.8;90.6;81.5
Helsinki;12.5;37.9;53;98;89.8;94.4;94.9
Irakleio;39.9;52;39;52.2;32.4;64.1;65
Istanbul;26;63.4;16.5;77.2;64;67.3;62.5
Kobenhavn;17.5;52.4;67.9;96.5;87.9;85.6;70.6
Kosice;26.8;84.2;11.5;90.8;71.5;67.2;66.2
Krakow;26.1;78.5;41.8;90.9;84.8;85.9;58.5
Lefkosia;21.3;31.4;57.6;58.2;38.3;20.6;65.2
Leipzig;78;51;23;97.4;94.1;89.5;80.6
Liege;38.2;45.7;19.5;90.2;66.2;79.8;71.7
Lille;26.7;74.8;33.2;89.7;81.6;88.3;89.4
Lisboa;10.1;65.2;15.8;85.4;54.8;75.9;67.1
Ljubljana;10.4;73.8;43.9;92.2;79;76.8;69.7
London;14.7;62.4;47.6;95.6;86.6;80.1;73.7
Luxembourg;9.7;66.8;53.6;94;91.6;86.2;90.1
Madrid;41.6;39.5;21.8;87.4;79.1;81.8;73.7
Malaga;61.3;65.9;9.9;71.6;53.3;76.3;66.9
Malmo;38.1;37;49.2;96;95.3;88.3;90.2
Manchester;52.4;65.1;46.3;97.5;77;74.4;84.6
Marseille;17.9;61.7;23.4;77.1;75.3;71.7;68.6
Miskolc;56.4;81.2;7;92.8;60.5;62.8;52
Munchen;6.2;58;62.9;99.4;94.6;88.7;90.2
Napoli;22.3;47.8;3.3;46.8;36;32.6;34.6
Newcastle upon Tyne;59.5;65;40.1;97.5;91.2;90.2;90.2
Ostrava;44.7;63.7;21.7;87.7;77.2;84.4;83.2
Oulu;64.9;54.1;31.2;93.6;88.6;69.9;92.5
Oviedo;66.3;57.6;14.7;83.4;89.8;90.3;81.1
Palermo;40.1;64;3.1;66.6;39.6;13.8;38.4
Paris;2.7;55.9;44.3;96;83.1;84.4;68.1
Piatra Neamt;50.3;87.6;16.7;83.2;89.5;80.6;79.3
Praha;28.8;61.3;64.5;93.3;76.6;85.4;80.1
Rennes;24.2;75.5;40;89.7;88.8;94.1;89.2
Riga;53.3;58.1;8.3;90.1;88.9;73.4;53.5
Roma;6.1;51.7;13.7;76;67.8;41.4;62.5
Rostock;52;65.3;16;82;83.6;92.6;74
Rotterdam;38.9;46.7;67.8;94.3;84.3;91.3;90.1
Sofia;39.8;70.4;52.1;72.6;48;49.9;44.7
Stockholm;15.4;42.9;73.9;96.7;91.1;91.3;81
Strasbourg;20;66.7;41.4;94.5;84.4;94;80.9
Tallinn;47.5;50.3;14.8;92.6;83.9;82.5;86.6
Torino;23;47.1;12.7;93;85.7;65.9;84.9
Valletta;45.2;69;23.1;45.9;47;65.4;64.2
Verona;22.7;60.2;30.7;82.4;69;61.4;83.6
Vilnius;53.2;66;15.1;86.7;64.3;69.3;57
Warszawa;18.9;65.6;56.6;93.2;86.1;75.8;68.3
Wien;22.7;28.3;49.1;98.7;84.6;92.8;83.7
Zagreb;17.1;63.7;17.3;81.9;74.4;81.7;68.1
