ID;Name;Country;100m;Long Jump;Shot Put;High Jump;400m;110 Hurdles;Discus Throw;Pole Vault;Javelin Throw;1500m;Overall
1;Ashton Eaton;U.S.;10.35;8.03;14.66;2.05;46.9;13.56;42.53;5.2;61.96;273.59;8869
2;Trey Hardee;U.S.;10.42;7.53;15.28;1.99;48.11;13.54;48.26;4.8;66.65;280.94;8671
3;Leonel Suarez;Cuba;11.27;7.52;14.5;2.11;49.04;14.45;45.75;4.7;76.94;270.08;8523
4;Hans Van Alphen;Belgium;11.05;7.64;15.48;2.05;49.18;14.89;48.28;4.8;61.69;262.5;8447
5;Damian Warner;Canada;10.48;7.54;13.73;2.05;48.2;14.38;45.9;4.7;62.77;269.85;8442
6;Rico Freimuth;Germany;10.65;7.21;14.87;1.9;48.06;13.89;49.11;4.9;57.37;277.62;8320
7;Oleksiy Kasyanov;Ukraine;10.56;7.55;14.45;1.99;48.44;14.09;46.72;4.6;54.87;273.68;8283
8;Sergey Sviridov;Russia;10.78;7.45;14.42;1.99;48.91;15.42;47.43;4.6;68.42;276.63;8219
9;Willem Coertzen;So Africa;11.09;7.17;13.79;2.05;48.56;14.15;43.58;4.5;64.79;266.52;8173
10;Pascal Behrenbruch;Germany;11.06;7.15;15.67;1.96;50.04;14.33;44.71;4.7;64.8;277.46;8126
11;E Sintnicolaas;Netherlands;10.85;7.37;14.18;1.93;48.85;14.43;32.26;5.3;58.82;271.17;8034
12;Brent Newdick;New Zealand;11.1;7.36;15.09;1.96;50.22;15.02;46.15;4.7;59.82;278.2;7988
13;Gonzalo Barroilhet;Chile;11.18;6.8;14.49;2.05;51.07;14.12;41.27;5.4;57.25;288.23;7972
14;Yordani Garcia;Cuba;10.8;6.75;14.48;1.99;48.76;14.24;42.27;4.6;59.85;278.57;7956
15;Kevin Mayer;France;11.32;7.17;14.05;2.05;48.76;15.59;41.2;4.7;62.41;263.02;7952
16;Ilya Shkurenyov;Russia;11.01;7.25;12.89;2.02;49.81;14.39;43.51;5.1;53.81;282.8;7948
17;Eduard Mihan;Belarus;10.74;6.94;14.75;1.93;48.42;14.15;44.42;4.4;55.69;278.06;7928
18;Dmitriy Karpov;Kazakhstan;10.91;7.21;16.47;1.99;49.83;14.4;44.93;5.1;49.93;316.83;7926
19;Luiz A De Araujo;Brazil;10.7;7.16;13.52;1.93;48.25;14.79;44.76;4.6;51.59;278.04;7849
20;Keisuke Ushiro;Japan;11.32;6.86;13.59;1.99;50.78;15.47;46.66;4.9;66.38;279.33;7842
21;Ingmar Vos;Netherlands;10.98;7.27;13.77;1.96;49.62;14.61;42.26;4.5;61.6;290.01;7805
22;Edgards Erins;Latvia;10.99;6.98;13.45;1.93;50.62;15.22;45.1;4.5;57.35;275.88;7649
23;Jangy Addy;Liberia;10.89;6.9;14.97;1.93;48.64;14.23;45.61;4.2;50.36;308.14;7586
24;Attila Szabo;Hungary;11.15;6.96;13.93;1.9;50.83;14.92;45.14;4.6;58.84;293.81;7581
25;Darius Draudvila;Lithuania;10.95;7.12;15.17;1.96;50.13;14.87;46.43;4.2;50.16;303.14;7557
26;Rifat Artikov;Uzbekistan;11.37;6.41;14.11;1.93;51.91;14.74;43.53;4.4;56.62;309.52;7203
