Date;PageViews
03.08.2015;1024
04.08.2015;1302
05.08.2015;1337
06.08.2015;1261
07.08.2015;1165
08.08.2015;879
09.08.2015;959
10.08.2015;1247
11.08.2015;1221
12.08.2015;1295
13.08.2015;1341
14.08.2015;1022
15.08.2015;843
16.08.2015;1004
17.08.2015;1281
18.08.2015;1300
19.08.2015;1334
20.08.2015;1270
21.08.2015;1216
22.08.2015;976
23.08.2015;994
24.08.2015;1391
25.08.2015;1389
26.08.2015;1487
27.08.2015;1429
28.08.2015;1326
29.08.2015;990
30.08.2015;1111
31.08.2015;1273
01.09.2015;1336
02.09.2015;1541
03.09.2015;1501
04.09.2015;1250
05.09.2015;973
06.09.2015;1209
07.09.2015;1377
08.09.2015;1601
09.09.2015;1676
10.09.2015;1705
11.09.2015;1551
12.09.2015;1188
13.09.2015;1252
14.09.2015;1686
15.09.2015;1675
16.09.2015;1443
17.09.2015;1640
18.09.2015;1513
19.09.2015;1001
20.09.2015;1258
21.09.2015;1596
22.09.2015;1804
23.09.2015;1617
24.09.2015;1530
25.09.2015;1286
26.09.2015;850
27.09.2015;1282
28.09.2015;1519
29.09.2015;1906
30.09.2015;2330
01.10.2015;2081
02.10.2015;1478
03.10.2015;1094
04.10.2015;1227
05.10.2015;1828
06.10.2015;2104
07.10.2015;1854
08.10.2015;1756
09.10.2015;1422
10.10.2015;1112
