Date;MaxTemp
03.11.2014;10.6
04.11.2014;14.1
05.11.2014;8.9
06.11.2014;4.7
07.11.2014;8.8
10.11.2014;7.7
11.11.2014;7.2
12.11.2014;8.4
13.11.2014;11.3
14.11.2014;9.8
17.11.2014;8.6
18.11.2014;9.7
19.11.2014;10
20.11.2014;5
21.11.2014;8.1
24.11.2014;10.6
25.11.2014;8.8
26.11.2014;8.5
27.11.2014;7.2
28.11.2014;6
01.12.2014;3.5
02.12.2014;4.4
03.12.2014;4.2
04.12.2014;4.5
05.12.2014;3.9
08.12.2014;4.1
09.12.2014;2.7
10.12.2014;2.9
11.12.2014;7.2
12.12.2014;8.3
15.12.2014;9.4
16.12.2014;7.9
17.12.2014;6.3
18.12.2014;9.9
19.12.2014;12.2
22.12.2014;5.2
23.12.2014;9.3
24.12.2014;6.5
25.12.2014;7.5
26.12.2014;3.5
29.12.2014;-4.7
30.12.2014;-1.8
31.12.2014;-2.3
01.01.2015;-2.1
02.01.2015;1.5
05.01.2015;1.5
06.01.2015;-2.1
07.01.2015;4.4
08.01.2015;7.9
09.01.2015;8.9
12.01.2015;5.5
13.01.2015;10.3
14.01.2015;9.4
15.01.2015;8.3
16.01.2015;6.6
19.01.2015;1.7
20.01.2015;1.1
21.01.2015;1.3
22.01.2015;0.9
23.01.2015;1.1
26.01.2015;-0.4
27.01.2015;2.4
28.01.2015;1.8
29.01.2015;3
30.01.2015;2.1
31.01.2015;3.5
